2020-04-23 07:35:40 install libgcc-s1:arm64 <none> 10-20200411-0ubuntu1
2020-04-23 07:35:40 status half-installed libgcc-s1:arm64 10-20200411-0ubuntu1
2020-04-23 07:35:40 status unpacked libgcc-s1:arm64 10-20200411-0ubuntu1
2020-04-23 07:35:40 install libgcrypt20:arm64 <none> 1.8.5-5ubuntu1
2020-04-23 07:35:40 status half-installed libgcrypt20:arm64 1.8.5-5ubuntu1
2020-04-23 07:35:40 status unpacked libgcrypt20:arm64 1.8.5-5ubuntu1
2020-04-23 07:35:40 install libgpg-error0:arm64 <none> 1.37-1
2020-04-23 07:35:40 status half-installed libgpg-error0:arm64 1.37-1
2020-04-23 07:35:40 status unpacked libgpg-error0:arm64 1.37-1
2020-04-23 07:35:40 install liblz4-1:arm64 <none> 1.9.2-2
2020-04-23 07:35:40 status half-installed liblz4-1:arm64 1.9.2-2
2020-04-23 07:35:40 status unpacked liblz4-1:arm64 1.9.2-2
2020-04-23 07:35:40 install liblzma5:arm64 <none> 5.2.4-1
2020-04-23 07:35:40 status half-installed liblzma5:arm64 5.2.4-1
2020-04-23 07:35:40 status unpacked liblzma5:arm64 5.2.4-1
2020-04-23 07:35:40 install libmount1:arm64 <none> 2.34-0.1ubuntu9
2020-04-23 07:35:40 status half-installed libmount1:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:40 status unpacked libmount1:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:40 install libncurses6:arm64 <none> 6.2-0ubuntu2
2020-04-23 07:35:40 status half-installed libncurses6:arm64 6.2-0ubuntu2
2020-04-23 07:35:40 status unpacked libncurses6:arm64 6.2-0ubuntu2
2020-04-23 07:35:40 install libncursesw6:arm64 <none> 6.2-0ubuntu2
2020-04-23 07:35:40 status half-installed libncursesw6:arm64 6.2-0ubuntu2
2020-04-23 07:35:40 status unpacked libncursesw6:arm64 6.2-0ubuntu2
2020-04-23 07:35:40 install libpam-modules:arm64 <none> 1.3.1-5ubuntu4
2020-04-23 07:35:40 status half-installed libpam-modules:arm64 1.3.1-5ubuntu4
2020-04-23 07:35:40 status unpacked libpam-modules:arm64 1.3.1-5ubuntu4
2020-04-23 07:35:40 install libpam-modules-bin:arm64 <none> 1.3.1-5ubuntu4
2020-04-23 07:35:40 status half-installed libpam-modules-bin:arm64 1.3.1-5ubuntu4
2020-04-23 07:35:40 status unpacked libpam-modules-bin:arm64 1.3.1-5ubuntu4
2020-04-23 07:35:40 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2020-04-23 07:35:40 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2020-04-23 07:35:40 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2020-04-23 07:35:40 install libpam0g:arm64 <none> 1.3.1-5ubuntu4
2020-04-23 07:35:40 status half-installed libpam0g:arm64 1.3.1-5ubuntu4
2020-04-23 07:35:40 status unpacked libpam0g:arm64 1.3.1-5ubuntu4
2020-04-23 07:35:40 install libpcre2-8-0:arm64 <none> 10.34-7
2020-04-23 07:35:40 status half-installed libpcre2-8-0:arm64 10.34-7
2020-04-23 07:35:40 status unpacked libpcre2-8-0:arm64 10.34-7
2020-04-23 07:35:41 install libpcre3:arm64 <none> 2:8.39-12build1
2020-04-23 07:35:41 status half-installed libpcre3:arm64 2:8.39-12build1
2020-04-23 07:35:41 status unpacked libpcre3:arm64 2:8.39-12build1
2020-04-23 07:35:41 install libprocps8:arm64 <none> 2:3.3.16-1ubuntu2
2020-04-23 07:35:41 status half-installed libprocps8:arm64 2:3.3.16-1ubuntu2
2020-04-23 07:35:41 status unpacked libprocps8:arm64 2:3.3.16-1ubuntu2
2020-04-23 07:35:41 install libselinux1:arm64 <none> 3.0-1build2
2020-04-23 07:35:41 status half-installed libselinux1:arm64 3.0-1build2
2020-04-23 07:35:41 status unpacked libselinux1:arm64 3.0-1build2
2020-04-23 07:35:41 install libsemanage-common:all <none> 3.0-1build2
2020-04-23 07:35:41 status half-installed libsemanage-common:all 3.0-1build2
2020-04-23 07:35:41 status unpacked libsemanage-common:all 3.0-1build2
2020-04-23 07:35:41 install libsemanage1:arm64 <none> 3.0-1build2
2020-04-23 07:35:41 status half-installed libsemanage1:arm64 3.0-1build2
2020-04-23 07:35:41 status unpacked libsemanage1:arm64 3.0-1build2
2020-04-23 07:35:41 install libsepol1:arm64 <none> 3.0-1
2020-04-23 07:35:41 status half-installed libsepol1:arm64 3.0-1
2020-04-23 07:35:41 status unpacked libsepol1:arm64 3.0-1
2020-04-23 07:35:41 install libsmartcols1:arm64 <none> 2.34-0.1ubuntu9
2020-04-23 07:35:41 status half-installed libsmartcols1:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:41 status unpacked libsmartcols1:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:41 install libss2:arm64 <none> 1.45.5-2ubuntu1
2020-04-23 07:35:41 status half-installed libss2:arm64 1.45.5-2ubuntu1
2020-04-23 07:35:41 status unpacked libss2:arm64 1.45.5-2ubuntu1
2020-04-23 07:35:41 install libsystemd0:arm64 <none> 245.4-4ubuntu3
2020-04-23 07:35:41 status half-installed libsystemd0:arm64 245.4-4ubuntu3
2020-04-23 07:35:41 status unpacked libsystemd0:arm64 245.4-4ubuntu3
2020-04-23 07:35:41 install libtinfo6:arm64 <none> 6.2-0ubuntu2
2020-04-23 07:35:41 status half-installed libtinfo6:arm64 6.2-0ubuntu2
2020-04-23 07:35:41 status unpacked libtinfo6:arm64 6.2-0ubuntu2
2020-04-23 07:35:41 install libudev1:arm64 <none> 245.4-4ubuntu3
2020-04-23 07:35:41 status half-installed libudev1:arm64 245.4-4ubuntu3
2020-04-23 07:35:41 status unpacked libudev1:arm64 245.4-4ubuntu3
2020-04-23 07:35:41 install libuuid1:arm64 <none> 2.34-0.1ubuntu9
2020-04-23 07:35:41 status half-installed libuuid1:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:41 status unpacked libuuid1:arm64 2.34-0.1ubuntu9
2020-04-23 07:35:41 install libzstd1:arm64 <none> 1.4.4+dfsg-3
2020-04-23 07:35:41 status half-installed libzstd1:arm64 1.4.4+dfsg-3
2020-04-23 07:35:41 status unpacked libzstd1:arm64 1.4.4+dfsg-3
2020-04-23 07:35:41 install login:arm64 <none> 1:4.8.1-1ubuntu5
2020-04-23 07:35:41 status half-installed login:arm64 1:4.8.1-1ubuntu5
2020-04-23 07:35:41 status unpacked login:arm64 1:4.8.1-1ubuntu5
2020-04-23 07:35:41 install logsave:arm64 <none> 1.45.5-2ubuntu1
2020-04-23 07:35:41 status half-installed logsave:arm64 1.45.5-2ubuntu1
2020-04-23 07:35:41 status unpacked logsave:arm64 1.45.5-2ubuntu1
2020-04-23 07:35:41 install lsb-base:all <none> 11.1.0ubuntu2
2020-04-23 07:35:41 status half-installed lsb-base:all 11.1.0ubuntu2
2020-04-23 07:35:41 status unpacked lsb-base:all 11.1.0ubuntu2
2020-04-23 07:35:41 upgrade mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
